Investors_Name,investment_name_count
"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",2
"Micromax Informatics Ltd",2
"CDC Group Plc",2
"Mohammed Khan, Sameer Narayan & Others",2
"Eight Roads Ventures India",2
"Lionrock Capital",2
"Unilever Ventures",2
"Pravega Ventures",2
"Eduardo Saverin",2
"Info Edge",2
"Z Nation Lab",2
1Crowd,2
"Sandeep Aggarwal",2
"DSG Consumer Partners, Saama Capital",2
"InnoVen Capital India",2
"Keiretsu Forum",2
"Blacksoil Capital Pvt. Ltd",2
Xelpmoc,2
"Yuvraj Singh",2
"Nimit Panigrahi",2
"Kalaari Capital, Norwest Venture Partners",2
"Lightspeed Venture Partners",2
"Bennett, Coleman and Company Ltd",2
"Times Internet Ltd",2
L\\xe2\\x80\\x99Occitane,2
"3one4 capital",2
"Earlsfield Capital",2
"Ganesh Natarajan",2
"Nexus Venture Partners, Blume Ventures",2
"IvyCamp Ventures",2
"GEMs Advisory, Quarizon",2
"Franchise India",2
"Info Edge (India)",2
"Eros Labs",2
"Unicorn India Ventures",2
"Sachin Bansal, Binny Bansal",2
"Nandan Nilekani",2
"Chandigarh Angels Network",2
"Viraj Tyagi & Others",2
"Punit Soni",2
"DSG Consumer Partners",2
"Omnivore Partners",2
"Anglian Omega Network",2
"Swan Angel Network",2
"Kalaari Capital, India Quotient",2
"Rainmaker Ventures",2
"SAIF Partners, India Quotient",2
"Prime Venture Partners",2
"Parampara Capital",2
"EVC Ventures",2
"Accel Partners India",2
"Mayfield Ventures",2
Grex.in,2
"MoMagic Technologies",2
"Anand Mahindra",2
"Ashish Gupta",2
GirnarSoft,2
"Undisclosed private investors",2
"Indian Angel Network, Stanford Angels, Entrepreneurs India",2
"Google Capital",2
"Snow Leopard Technology Ventures",2
"Manipal Global Education Services",2
"Michael & Susan Dell Foundation",2
Aavishkaar,2
"Lightspeed India",2
"Tracxn Syndicate",2
"Dinesh Agarwal",2
"Sanjay Mehta",2
"Puneet Dalmia",2
"growX ventures",2
"Agnus Capital",2
"Turning Ideas",2
"Paytm (One97 communications)",2
Snapdeal,2
"Aarin Capital Partners",2
"Sequoia Capital, Matrix Partners",2
"Green House Ventures",2
"Oliphans Capital",2
VentureNursery,2
"Group of Investors",2
"Accel Partners, Helion Venture Partners",2
"SIDBI Venture Capital Ltd",2
"Kunal Bahl, Rohit Bansal",2
"TA Associates",2
"Susquehanna Growth Equity",1
"Vinod Khatumal",1
"Sprout Venture Partners",1
"Chiratae Ventures",1
"Ant Financial",1
"Sathguru Catalyzer Advisors",1
"Ping An Global Voyager Fund",1
"Mumbai Angels, Ravikanth Reddy",1
"SAIF Partners, Spring Canter Investment Ltd.",1
"Paytm, NPTK, Sabre Partners and Neoplux",1
"Vertex Growth Fund",1
"Ruizheng Investment",1
"Manipal Education and Medical Group (MEMG)",1
"Sequoia, CapitalG, Accel",1
"Sauce.vc, Rainforest Ventures",1
"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",1
"DG Daiwa Ventures, DG Incubation",1
"Trifecta Capital Advisors",1
FinTech,1
"Altimeter Capital, Sutter Hill Ventures",1
"Startup Buddy",1
"Amour Infrastructure",1
"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",1
"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",1
"IAN Fund and DSG Consumer Partners",1
"Altimeter Capital, DST Global",1
"Ayushmann Khurana",1
"Matrix Partners India, Sequoia India",1
"TIW Private Equity",1
"Breakthrough Energy Ventures",1
"A91 Partners",1
"Bennett Coleman and Company Ltd (BCCL)",1
"India Quotient, Axilor Ventures",1
"SC GG India Mobility Holdings LLC",1
"Azim Premji, Binny Bansal",1
"Pine Labs Pte Ltd",1
"MS Dhoni",1
"XL Innovate",1
"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",1
"RPS Ventures",1
"One97 Communications Ltd.",1
"Growth DNA",1
"Vir Sanghvi",1
"Lok Capital, IIFL Wealth",1
"Kapil Dev",1
"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",1
"Artha Venture",1
"Qatar Investment Authority",1
"Composite Capital Management, Sequoia Capital India, Tiger Global Management",1
"Binny Bansal",1
"Multiple Angel Investors",1
"General Atlantic",1
"Goldman Sachs, Accel Partners and Qualcomm",1
"Insight Partners",1
"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",1
"Blume Ventures and RTP Global",1
"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",1
"IAN Fund",1
"Qiming Venture Partners",1
"Tata Sons",1
"C4D Partners",1
"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",1
"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",1
"Sachin Bansal",1
"Equanimity Ventures",1
"Korea Investment Partners, Vertex Ventures",1
"Eight Roads",1
"Prasid Uno Family Trust",1
"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",1
"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",1
"Unnamed angel investors",1
"Lightspeed India Partners",1
Milestone,1
"Supera Pte Ltd",1
"Kalyan Krishnamurthy",1
"Sequoia India, Tiger Global Management, Accel Partners",1
"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",1
"New Atlantic Ventures",1
"021 Capita, Binny Bansal",1
"India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund",1
"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",1
"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",1
"DiDi Chuxing",1
"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",1
"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",1
"MASSIF, a Dutch government fund",1
"Stellaris Venture Partners",1
"Steadview Capital and Vy Capital.",1
"Omphalos Ventures India LLP",1
"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",1
"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",1
"Lead Angels Network",1
"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",1
"Shunwei Capital, DST Partners and RPS Ventures",1
"RB Investments, Singapore",1
"Mayfield Fund",1
"Stevens Creek Ventures",1
"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",1
"Teachers Insurance and Annuity Association (TIAA)",1
"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",1
"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",1
"Paragon Partners, Individual Investors",1
"Prashant Jaiswal",1
"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",1
"Ravi Viswanathan",1
ZigExN,1
"Credence Family Office",1
"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",1
"DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.",1
"Falcon Edge",1
"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",1
Lighthouse,1
KDDI\\xc2\\xa0,1
"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",1
"Stellaris Ventures & Others",1
"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",1
"Shunwei Capital,Quotient, Mayfield & Others",1
"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",1
"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",1
"Axilor, Sprout Venture Partners and others",1
"Xiaomi and Sequoia Capital India",1
"Fung Strategic Holdings",1
"MakeMyTrip Limited",1
"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",1
"Nexus Venture Partners, Prime Venture Partners and Others",1
"AJ Ventures and Jain International Trade Organisation (JITO)",1
"Ventureast, Orios Venture Partners and the IAN Fund",1
"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",1
"Denlow Investment Trust and Beenext",1
"CDC Group plc\\xc2\\xa0",1
"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",1
"Xiaomi,PayU, Ribbit Capital and Omidyar Network",1
"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",1
"Nexus Venture Partners, Omidyar Network and Shunwei Capital",1
"Accel (formerly known as Accel Partners)",1
"Ajay Relan and Vinay Mittal",1
"MDI Ventures & Telkom Indonesia",1
"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",1
"Info Edge (India) Ltd and Temasek",1
"Insignia Ventures Partners, Lightbridge Partners & Kairos",1
"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",1
ResponsAbility,1
"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",1
"Base of Pyramid Asia (BOPA) Pte Ltd",1
"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",1
"Brand Capital and Others",1
"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",1
"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",1
"Kingsway FCI Fund, KCK Global & Others",1
"Omidyar Network & Others",1
"TPG Growth, The Rise Fund & Others",1
"PayU & Others",1
"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",1
"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",1
"Gray Matters",1
Fairfax,1
"Allcargo Logistics, Navneet Education and Mahavir Agency",1
"BeeNext , WEH Ventures and Sprout Ventures",1
"Ventureast and Exfinity",1
"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",1
"Lindwall Family Investments LLC (LFI)",1
"Amazon Alexa Fund & Dentsu Ventures",1
"IDG Ventures, Accel Partners, Kalaari Capital and Others",1
"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",1
"Kantilal Patel",1
"Sabre Partners, Puneet Dalmia & Others",1
"Aspire Logistics LLC",1
"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",1
"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",1
"NB Ventures and Others",1
"Oman India Joint Investment Fund (OIJIF)",1
"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",1
"CapitalG, SAIF Partners and LGT Impact Ventures",1
"Paragon Partners",1
"Saama Capital and Sequoia Capital",1
"Spiral Ventures, Subho Ray and Samir Kumar",1
"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",1
"Rannvijay Singha",1
"Helix Investments",1
"Lighthouse Funds & Thuasne Participations",1
"Hyperplane Venture Capital and several angel investors",1
"Menterra Venture & Artha Initiatives",1
"Shorooq Investments, LetsVenture & Others",1
"Accel Partners, Sequoia India, Y Combinator and others.",1
"Sequoia Capital, Accel Partners & Raghunandan Gangappa",1
"SoftBank Vision Fund & Info Edge (India) Ltd",1
"Diageo India",1
"Equanimity Venture Fund",1
"One 97 Communications",1
"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",1
"Undisclosed Existing Investors As Well As The Tamarind Family Trust",1
"Speciale Invest & Others",1
"Leo Capital",1
"Shiva Gunapu & Others",1
"Unknown High Net-Worth Individuals",1
"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",1
"IL&FS Private Equity, Kae Capital & Others",1
"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",1
"Rairah Corporation",1
"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",1
"Kalaari Capital, Unilever Ventures and Blume Ventures",1
"Credika and unnamed angel investors",1
"RS Shanbag",1
"Insistor, Oikocredit",1
"Ashish Kacholi, S Chand Group",1
"Atul Gupta and Saurabh Rastogi",1
"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",1
"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",1
"Kalaari Capital, Omidyar Network and Accion Venture Labs",1
"Amazon Inc. and Mastercard",1
Treebo,1
"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",1
"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",1
"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",1
"Subhkam Ventures and Mohit Khadaria",1
"Vishal Bali, Yogesh Misra, Thomas Assessments and others",1
"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",1
"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",1
"Accel Partners, Tiger Global And Others",1
"Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim",1
"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",1
"Kae Capital Management",1
"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",1
"SRI Capital, Waterbridge Ventures and ThinKuvate",1
"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",1
"Lok Capital",1
"Mr. Manoj Prasad",1
"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",1
"International Finance Corporation, Transamerica and others.",1
"TR Capital",1
"Shilpa Shetty Kundra",1
"Pravega Ventures and Beenext",1
"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",1
"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",1
"Vidal Healthcare",1
Amazon,1
"GEMS Advisory, Alok Mittal and Sachin Bhatia",1
"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",1
"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",1
"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",1
"Emery Capital, Blacksoil and Kalaari Capital",1
"Bay Capital Investments and Others",1
"SAR Group",1
"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",1
"CBA Capital and others",1
"Sequoia Capital, SAIF Partners and Kalaari capital",1
"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",1
"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",1
"HDFC Life, HDFC Asset Management",1
"Vertex Ventures, Accel Partners and Saama Capital",1
"Avendus Finance Pvt. Ltd",1
"Aegon NV",1
"State Street Global Advisors",1
"HR Fund",1
"Actis, Altimeter Capital",1
"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",1
"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",1
"SoftBank, Tiger Global and Apoletto Managers.",1
"1Crowd, Ankur Capital",1
"Amit Burman, SIDBI Venture Capital",1
"Pi Ventures, Axilor Ventures",1
"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",1
"Insight Venture Partners, Accel Partners and Tiger Global Management.",1
"SucSEED Venture Partners",1
"Kumar Vembu, Axilor Ventures",1
"Initia Holdings,Vipin Agarwal and others.",1
"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",1
"Amit Singhal and Unitus Seed Fund",1
"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",1
"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",1
"Ant Financials",1
"Man Capital LLP, Girnar Software, Others",1
"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",1
"Montane Ventures",1
"Sandeep Mathur",1
"Meritech Capital Partners",1
"Sistema Asia Fund",1
"British and Indian Governments",1
"Accel Partners, Sequoia Capital",1
"Social Capital",1
"Fullerton Financial Holdings Pte Ltd & Others",1
"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",1
"Ashok Kumar Gajera",1
"Tribe Impact Capital LLP",1
"Michael & Susan Dell Foundation, LGT Impact Ventures",1
Kalpavriksh,1
"Axis Capital Partners",1
"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",1
"S7 Group",1
"Michael Patrick Hickey",1
"Network 18",1
"Sequoia and Jerry Yang",1
"Hinduja Leyland Finance, IntelleGrow",1
"Ankur Capital",1
"Lightspeed & Yuri Milner",1
"Wargburg Pincus, Sequoia",1
"Blume Ventures, HealthQuad and Fireside Ventures",1
"PNC, Citi Ventures",1
"Auxano Deals",1
"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",1
"Dr Devi Shetty",1
"Startup Buddy,Amit Manocha and others",1
"Tencent Holdings Ltd, Times Internet",1
"Y Combinator, Khosla Ventures, Vy Capital and others",1
"Recruit Holdings, Sequoia Capital India, Accel Partners",1
"Claris Capital, Mumbai Angels Network",1
"Rohan Agila",1
"Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.",1
"RuNet & Other",1
"Amazon-Patni JV",1
"responsAbility, Elevar Equity and Accel Partners",1
"Morgan Stanley Private Equity Asia",1
"Pankaj Chopra, Ankush Gupta",1
"Tiger Global, Y Combinator",1
"Indian fintech fund, Rainmatter",1
"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",1
"Goldman Sachs, hedge fund & Others",1
"Polaris Fund",1
"Xiaomi Singapore, Shunwei Capital",1
"Incubate Fund India, Anuj Agrawal",1
"DMI Finance",1
"Dr. Ranjan Pai",1
"LeapFrog Investments, Aspada Investment, Quona Capital",1
"Avendus Finance",1
"Chennai Angels, Lead Angels, LetsVenture",1
"RNT Capital",1
"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",1
"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",1
"Axilor Ventures, Newfort Capital",1
"HDFC Bank, Axis Bank",1
"Scale Minds",1
Google,1
Hines,1
"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",1
Kalpvriksh,1
"Somerset Indus Capital Ventures",1
"Singapore Angel Network, Mumbai Angel",1
"Aamir Khan",1
"HT Media",1
"Munesh Khanna",1
"Canaan Partners",1
"Rakesh Jhunjhunwala",1
"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",1
"RoundGlass Partners LLC",1
"Accel Partners, Sequoia Capital, RB Investments",1
"Mountain Pain Capital, Suncoast Investments",1
"InsuResillience Investment Fund",1
"Costanoa, Learn Capital, Jyoti Bansal",1
"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",1
"Axilor Ventures, E-City VEntures Atul Goel",1
""Kedaraa Capital",1
"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",1
"Gaurav Gupta",1
"Jones Lang LaSalle",1
"Manish Poddar, Arun Garg, Parmeshwar Sharma",1
"Jayant Humbarwadi",1
"Kae Capital Management, Nazara Technologies",1
"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",1
"Infosys co-founder Kris Gopalakrishnan",1
"Matrix Partners India, Khosla Ventures",1
"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",1
"Lumis Partners",1
"Quona Capital Management",1
"Pioneering Ventures, Syngenta AG",1
"Axilor Ventures, Kumar Vembu",1
"IDG Ventures, IDFC-Parampara Fund",1
"Singtel, Innov8, Harmony Partners",1
"Wipro Consumer Care",1
"GAIL India Ltd",1
"Rugmini Menon",1
"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",1
"Nishit Sharma, Alok Srivastava",1
"SSCBS Innovation, Incubation Foundation (SIIF)",1
"Skycatcher Fund, Aravind Sanka",1
"Notion Capital, IDG Ventures",1
"Vida Ventures, Dr. Aniruddha Malpani",1
"Sabre Partners, MEMG CDC",1
"Global Institutional Investors",1
"Uniliver Ventures",1
"Javelin StartupO Victory Fund",1
"Amit Patni",1
"Gaja Capital",1
"NB Ventures, MediAssist",1
"Matrix PArtners, Accel",1
"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",1
"Tencent, Softbank Group",1
"Digital Garage",1
"Sprout Angels",1
"Blume Ventures, IDG Ventures & Indian Angel Network",1
Globevestor,1
"Sequoia India, Helion Venture Partners, Beenext",1
"Epsilon Venture Partners, Tara India Fund IV and others",1
"Das Capital, Axan Partners, Das Capital and IT Farm",1
"Das Capital, Simile Ventures",1
"Daffodil Software",1
"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",1
"Shailesh Haribhakti",1
"Aequs Group",1
"Orient BlackSwan",1
"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",1
"Multipoint Capital,",1
"Saama Capital and DSG Consumer Partners",1
"SAIF Partners, YCombinator, Venture Highway",1
"Wellington Management, DG Ventures India, True North",1
"Vida Ventures, Snehal Mantri, Anshu Bahadur",1
"Xiaomi Technologies, Shunwei Capital",1
"Amicus Capital",1
"Accel Partners, Zephyr Peacock",1
Experian,1
"Nexus, GREE Ventures",1
"SAIF Partners, Helion Ventures, FIL Capital Management",1
"DSG Consumer Partners, Sequoia Capital, Saama Capital",1
"Rockstart Accelerator",1
"Indian Angel network, IAN Fund",1
"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",1
"Blume Ventures, Indian Angel Network",1
"Greenfield Advisory",1
"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",1
"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",1
"Helion Ventures Partners",1
"Kotak Mahindra Bank",1
"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",1
"ANI Technologies Pvt. Ltd",1
"Mahindra & Mahindra and Infuse Ventures",1
"TannCam Investment & Sistema Asia Fund",1
"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",1
"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",1
"Accel Partners, Exfinity Ventures, Partech Ventures",1
"SRI Capital, BeeNext, Pravega Ventures",1
"Michael and Susan Dell Foundation, Anand Mahindra",1
"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",1
"HIS Co. Ltd, MakeMyTrip",1
"Sequoia Capital India, Artiman Ventures",1
"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",1
"V Balakrishnan.",1
"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",1
"RPG Enterprises",1
"Triodos Investment Management,",1
"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",1
"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",1
"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",1
"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",1
"IAN Fund, Beenext, Indian Angel Network",1
"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",1
"Accel Partners,",1
"China Lodging Group",1
"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",1
"Chennai Angels, Keiretsu Forum & Others",1
"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",1
"ECL Finance",1
"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",1
"Shamik Sharma, Aprameya Radhakrishna",1
"Susquehanna Growth Equity LLC",1
"Incofin Investment Management.",1
AdvantEdge,1
"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",1
"LG Chandrasekhar",1
"AV Thomas Group",1
"Vertex Ventures, Prime Venture Partners.",1
"Zomato Media Pvt. Ltd",1
"Battery Road Digital Holdings LLC",1
"Mehul Shah",1
"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",1
"Aniruddha Malpani, Startup Oasis",1
