Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
489,"Tilite Technologies Pvt. Ltd",Technology,"Saas based Corporate Travel Management Solution",Bangalore,"Matrix Partners","Seed Funding",N/A,2017-11-09,nan
490,"Mobiliz AR",Technology,"Augmented Reality based Tech platform",Bangalore,"IDG Ventures, IDFC-Parampara Fund","Private Equity",N/A,2017-11-09,nan
491,Qubole,Technology,"Big Data based analytics platform",Bangalore,"Singtel, Innov8, Harmony Partners","Private Equity","2,50,00,000",2017-11-10,nan
492,"Happily Unmarried",ECommerce,"Online Gifting platform","Nw Delhi","Wipro Consumer Care","Private Equity",N/A,2017-11-10,nan
493,"Universal Sportsbiz Pvt. Ltd",ECommerce,"Celebrity fashion accessories and merchandise",Mumbai,"Accel Partners",PrivateEquity,"1,50,00,000",2017-11-13,nan
494,"Hungry Foal",Ecommerce,"Healthy & Nutrition based snacks online platform",Gurgaon,"GAIL India Ltd","Seed Funding",N/A,2017-11-14,nan
495,"Active AI",Technology,"AI based FinTech platform",Bangalore,"Vertex Ventures","Private Equity","82,50,000",2017-11-14,nan
496,Sumeru,Technology,"Banking Software License Platform",Bangalore,"Undisclosed Investors","Seed Funding","9,00,000",2017-11-15,nan
497,"ElderAid Wellness","Health Care","Social Healthcare Enterprise",Bangalore,"Rugmini Menon","Angel Funding",N/A,2017-11-15,nan
498,"Omnia Information",Technology,"WiFi Analytics Platform",Delhi,"Omidyar Network","Private Equity","30,00,000",2017-11-15,nan
499,"Josh Talks",Inspiration,"Storytelling platform",Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana","Private Equity",N/A,2017-11-15,nan
500,Reniso,Technology,"End-to-End property management for landlords living away","New Delhi","Nishit Sharma, Alok Srivastava","Seed Funding",N/A,2017-11-15,nan
501,Kanhaiya,Inspiration,"Storytelling platform",Hyderabad,"Undisclosed Investors","Seed/Angel Funding","2,00,000",2017-11-17,nan
502,Perspectico,Technology,"Placement preparation and career growth training platform",Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)","Seed/Angel Funding",N/A,2017-11-17,nan
503,"ONN Bikes",Technology,"Self riding bike rental program",Mumbai,"Z Nation Lab","Seed/Angel Funding","6,92,000",2017-11-20,nan
504,Rapido,Technology,"Bike and Taxi pooling online platform",Hyderabad,"Skycatcher Fund, Aravind Sanka","Seed/Angel Funding","3,29,230",2017-11-21,nan
505,Heckyl,Technology,"Big Data Analytics Platform",Mumbai,"Notion Capital, IDG Ventures","Private Equity","27,00,000",2017-11-21,nan
506,Nuvepro,Technology,"Managed Cloud Environment Solutions",Mumbai,1Crowd,"Seed/Angel Funding","4,00,000",2017-11-21,nan
507,RedBook,Technology,"AI based pharmacy drugs insights platform",Mumbai,"Vida Ventures, Dr. Aniruddha Malpani","Seed/Angel Funding","2,50,000",2017-11-21,nan
508,Portea,Healthcare,"Healthcare facilities at doorstep",Bangalore,"Sabre Partners, MEMG CDC","Private Equity","2,60,00,000",2017-11-21,nan
509,"Credit Mate",Technology,"Vehicle loan approval platform",Mumbai,Paytm,"Private Equity",N/A,2017-11-21,nan
510,"Epiq Capital",Finance,"Tech based investor firm",Mumbai,"Global Institutional Investors","Private Equity","20,00,00,000",2017-11-21,nan
511,MiStay,Technology,"Online Hotel Reservation Platform",Bangalore,"Axilor Ventures","Seed/Angel Funding",N/A,2017-11-22,nan
512,WittyFeed,Storytelling,"Viral Content and storytelling platform",Indore,"Sandeep Aggarwal","Seed/Angel Funding",N/A,2017-11-23,nan
513,"IDG Ventures",Finance,"Venture Capitalist",Bangalore,"Uniliver Ventures","Private Equity","1,00,00,000",2017-11-24,nan
514,TempGo,Technology,"IoT and SaaS based transportation platform",Goa,"Javelin StartupO Victory Fund","Seed/Angel Funding","2,50,000",2017-11-24,nan
515,Edelweiss,Finance,"Diversified Financial",Mumbai,"Undisclosed investors","Private Equity","27,00,00,000",2017-11-27,nan
516,ERA,Technology,"Identity management platform",Mumbai,"Amit Patni","Seed/Angel Funding","39,000",2017-11-27,nan
517,Smaaash,Technology,"Virtual Reality based gaming platform",Mumbai,"Sixth Sense Ventures","Private Equity","38,00,000",2017-11-27,nan
518,Chumbak,Lifestyle,"Designer-led consumer products",Bangalore,"Gaja Capital","Private Equity","1,30,00,000",2017-11-28,nan
519,FR8,Technology,"Online Truck aggregator platform",Chennai,"IFMR Capital","Debt Funding","15,00,000",2017-11-28,nan
520,MobieFit,Healthcare,"Health and fitness based mobile App",Goa,"NB Ventures, MediAssist","Seed/Angel Funding","13,50,000",2017-11-28,nan
521,"Stanza Living",Technology,"Student accommodation platform",Delhi,"Matrix PArtners, Accel","Private Equity","20,00,000",2017-11-28,nan
522,ChqBook,"Consumer Internet","Home Loans Aggregation platform",Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha","Seed Funding",N/A,2017-10-03,nan
523,HomeCapital,"Consumer Internet","Home Loan Down payment assistance program",Mumbai,"Venture Catalysts","Seed Funding",N/A,2017-10-03,nan
524,"Ola Cabs","Consumer Internet","App based cab hailing services",Bangalore,"Tencent, Softbank Group","Private Equity","11,00,00,000",2017-10-03,nan
525,Elanic,"Consumer Internet","P2P platform for Fashion sales",Bangalore,"Digital Garage","Seed Funding",N/A,2017-10-04,nan
526,CollPoll,"Consumer Internet","Education collaboration platform",Bangalore,"Sprout Angels","Seed Funding","3,06,000",2017-10-04,nan
527,PhonePe,"Consumer Internet","Digital Wallet",Bangalore,Flipkart,"Private Equity","3,87,00,000",2017-10-04,nan
528,"Little Black Book","Consumer Internet","Local Recommendations and Discoveries Platform","New Delhi","Blume Ventures, IDG Ventures & Indian Angel Network","Private Equity","10,00,000",2017-10-05,nan
529,Oorjan,Technology,"rooftop solar platform",Mumbai,Globevestor,"Seed Funding","4,50,000",2017-10-05,nan
530,Zefo,ECommerce,"Ecommerce Portal for Used Goods",Bangalore,"Sequoia India, Helion Venture Partners, Beenext","Private Equity","92,00,000",2017-10-05,nan
531,Yaantra,ECommerce,"Mobile repair and Refurbishment platform","New Delhi","Carpediem Capital","Private Equity","31,00,000",2017-10-06,nan
532,"Farm Taaza",Technology,"Fresh Produce SCM company",Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others","Private Equity","80,00,000",2017-10-06,nan
533,Drivezy,"Consumer Internet","Self Drive car and bike rental platform",Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm","Private Equity","1,00,00,000",2017-10-06,nan
534,"Slice Pay","Consumer Internet","Student Micro-financing platform",Bangalore,"Das Capital, Simile Ventures","Private Equity","20,00,000",2017-10-06,nan
535,Agrowave,Technology,"Agriculture Supply Chain management solutions",Gurgaon,"Daffodil Software","Seed Funding",N/A,2017-10-09,nan
536,MyGubbi,eCommerce,"Home Interior Designing Seller",Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy","Private Equity","27,00,000",2017-10-09,nan
537,IBSFintech,Technology,"Treasury Risk Management Solution",Bangalore,"Shailesh Haribhakti","Seed Funding",N/A,2017-10-09,nan
538,Letsservice,"Consumer Internet","Auto Service Logistics & SAAS platform",Bangalore,"Aequs Group","Private Equity",N/A,2017-10-09,nan
539,OneStepUp,Technology,"Education Technology platform","New Delhi","Orient BlackSwan","Seed Funding","3,36,000",2017-10-09,nan
540,ThirdWatch,Technology,"AI-powered anti-fraud solutions",Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities","Seed Funding",N/A,2017-10-09,nan
541,"Parallel Dots",Technology,"AI-powered deep learning solutions",Gurgaon,"Multipoint Capital,","Private Equity","14,00,000",2017-10-10,nan
542,"Easy Diner","Consumer Internet","online restaurant reservation platform",Gurgaon,"Saama Capital and DSG Consumer Partners","Private Equity","45,00,000",2017-10-10,nan
543,Meesho,ECommerce,"Online Reseller Network",Bangalore,"SAIF Partners, YCombinator, Venture Highway","Private Equity","31,00,000",2017-10-11,nan
544,StanPlus,Logistics,"Medical Transportation Services",Hyderabad,"KStart Capital","Private Equity","11,00,000",2017-10-11,nan
545,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,"Undisclosed investors","Seed Funding","2,35,000",2017-10-12,nan
546,"Policy Bazaar","Consumer Internet","Online insurance policy aggregator",Gurgaon,"Wellington Management, DG Ventures India, True North","Private Equity","7,70,00,000",2017-10-13,nan
547,Gapoon,"Consumer Internet","home maintenance services platform",Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur","Seed Funding","2,50,000",2017-10-13,nan
548,Chaayos,eCommerce,"Online Chai ordering platform",Gurgaon,"Tiger Global Management","Private Equity","20,00,000",2017-10-13,nan
549,KrazyBee,"Consumer Internet","Micro-lending platform",Bangalore,"Xiaomi Technologies, Shunwei Capital","Private Equity","80,00,000",2017-10-16,nan
550,"Renew Buy","Consumer Internet","Online Insurance Aggregator","New Delhi","Amicus Capital","Private Equity","92,00,000",2017-10-16,nan
551,Fingerlix,"Consumer Internet","Food Ordering Portal",Bangalore,"Accel Partners, Zephyr Peacock","Private Equity","70,00,000",2017-10-17,nan
552,"Bank Bazaar","Consumer Internet","Online Financial Marketplace",Chennai,Experian,"Private Equity","70,00,000",2017-10-18,nan
553,Hasura,Technology,"App building platform",Chennai,"Nexus, GREE Ventures","Private Equity",N/A,2017-10-18,nan
554,BlackBuck,Logistics,"B2B Logistics provider",Bangalore,"Innoven Capital","Private Equity","77,00,000",2017-10-18,nan
555,"LenDen Club","Consumer Internet","Online peer-to-peer lending platform",Mumbai,"Undisclosed Investor","Seed Funding","5,00,000",2017-10-18,nan
556,Toppr,"Consumer Internet","Mobile based learning app",Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management","Private Equity","70,00,000",2017-10-23,nan
557,"RAW Pressery","Food & Beverage","Cold pressed Juice maker",Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital","Private Equity","60,00,000",2017-10-23,nan
558,Cashe,"Consumer Internet","app-only lending platform",Mumbai,"IFMR Capital","Debt Funding","31,00,000",2017-10-23,nan
559,"Park Easy","Consumer Internet","Machine learning based parking discovery",Kolkata,"Rockstart Accelerator","Seed Funding","1,18,000",2017-10-23,nan
560,TagBox,Technology,"Cold Chain monitoring solution",Bangalore,"Indian Angel network, IAN Fund","Seed Funding",N/A,2017-10-24,nan
561,FYRE,"Food & Beverage","Herbal energy shot maker",Mumbai,"Venture Catalysts","Seed Funding","5,00,000",2017-10-24,nan
562,ZipLoan,"Consumer Internet","SME lending platform","New Delhi","Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh","Private Equity","30,00,000",2017-10-24,nan
563,Skillenza,"Consumer Internet","Online Learning Platform",Bangalore,"Blume Ventures, Indian Angel Network","Seed Funding","7,22,000",2017-10-24,nan
564,Chevon,"Food & Beverage","Frozen Meat provider",Mumbai,"Greenfield Advisory","Private Equity",N/A,2017-10-24,nan
565,PropStory,"Consumer Internet","Real Estate content portal",Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora","Seed Funding",N/A,2017-10-25,nan
566,SpotDraft,"Consumer Internet","Contract Automation",Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments","Seed Funding","5,50,000",2017-10-25,nan
567,"Big Basket",eCommerce,"Online Grocery portal",Bangalore,"Helion Ventures Partners","Private Equity","50,00,000",2017-10-26,nan
568,OfBusiness,Technology,"B2B Finance & Fulfilment Network",Gurgaon,"Kotak Mahindra Bank","Debt Funding","38,00,000",2017-10-27,nan
569,"Olly Credit",Technology,"Credit + payment mobile app","New Delhi","Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary","Seed Funding",N/A,2017-10-27,nan
570,CashFree,Technology,"Payments Platform for Marketplaces and Fintechs","New Delhi","Y Combinator","Seed Funding","1,20,000",2017-10-28,nan
571,"Ola Cabs","Consumer Internet","App based cab hailing services",Bangalore,"ANI Technologies Pvt. Ltd","Private Equity","77,00,000",2017-10-28,nan
572,GoldFarm,"Food & Beverage","Agriculture Technology",Coimbatore,"Mahindra & Mahindra and Infuse Ventures","Private Equity","20,00,000",2017-10-30,nan
573,NetMeds,ECommerce,"Online Pharmacy",Chennai,"TannCam Investment & Sistema Asia Fund","Private Equity","1,40,00,000",2017-10-31,nan
574,MSE,Finance,"Equity Stock Exchange",Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala","Private Equity","3,20,00,000",2017-10-31,nan
575,"Aahaa Stores",eCommece,"Online B2B store for office supplies",Chennai,"YourNest Angel Fund","Private Equity","10,00,000",2017-09-01,nan
576,MFine,"Consumer Internet","Online Doctor Discovery platform",Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA","Private Equity","15,00,000",2017-09-01,nan
577,Canvera,"Consumer Internet","Online Photography platform",Mumbai,InfoEdge,"Private Equity","13,00,000",2017-09-01,nan
578,PrimaryIO,Technology,"Application Performance Acceleration",Pune,"Accel Partners, Exfinity Ventures, Partech Ventures","Private Equity","56,00,000",2017-09-04,nan
579,"Shubh Loans","Consumer Internet","online lending platform",Bangalore,"SRI Capital, BeeNext, Pravega Ventures","Private Equity","15,00,000",2017-09-05,nan
580,"Nest Education",Technology,"EduTech Platform",Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra","Seed Funding","6,00,000",2017-09-05,nan
581,"Lending Kart","Consumer Internet","Online Lending Platform",Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital","Private Equity","1,07,50,000",2017-09-06,nan
582,GoFro,"Consumer Internet","Online travel booking platform","New Delhi","HIS Co. Ltd, MakeMyTrip","Private Equity","1,00,00,000",2017-09-06,nan
583,OncoStem,Healthcare,"Medical Diagnostic Solutions",Bangalore,"Sequoia Capital India, Artiman Ventures","Private Equity","60,00,000",2017-09-06,nan
584,Power2SME,eCommerce,"Buying Club for Small Businesses",Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,","Private Equity","2,60,00,000",2017-09-06,nan
585,"Credit Vidya","Consumer Internet","Online Credit scoring platform",Mumbai,"Matrix Partners","Private Equity","50,00,000",2017-09-07,nan
586,"Tails Life","Consumer Internet","Pet care portal & mobile app",Bangalore,"V Balakrishnan.","Private Equity",N/A,2017-09-07,nan
587,"OYO Rooms","Consumer Internet","Branded budget hotels marketplace",Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise","Private Equity","25,00,00,000",2017-09-07,nan
588,"Early Salary","Consumer Internet","Online Unsecured Lending platform",Pune,"IFMR Capital","Debt Funding","7,80,000",2017-09-07,nan
589,MamaEarth,eCommerce,"online babycare products marketplace",Gurgaon,"Fireside Ventures","Seed Funding",N/A,2017-09-07,nan
590,Seniority,eCommerce,"Ecommerce portal for senior citizens",Pune,"RPG Enterprises","Private Equity","10,00,000",2017-09-07,nan
591,"AYE Finance","Consumer Internet","Micro Lending Platform","New Delhi","Triodos Investment Management,","Debt Funding","69,00,000",2017-09-08,nan
592,Farmizen,Technology,"Agre-Tech Mobile app",Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,","Seed Funding",N/A,2017-09-08,nan
593,"Ecom Express",Logistics,"Logistics Solutions provider","New Delhi","Warburg Pincus","Private Equity","3,00,00,000",2017-09-11,nan
594,"Call Health","Consumer Internet","Healthcare Services Aggregator",Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand","Private Equity","62,00,000",2017-09-11,nan
595,Sattviko,eCommerce,"Health Food etailer","New Delhi","Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar","Seed Funding",N/A,2017-09-12,nan
596,3HCare,"Consumer Internet","Healthcare services portal","New Delhi","Undisclosed Investor","Seed Funding","1,00,000",2017-09-12,nan
597,"Tonbo Imaging",Technology,"Imaging Technology for Armed Forces",Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures","Private Equity","1,70,00,000",2017-09-12,nan
598,"Get My Parking","Consumer Internet","Smart Parking Enabler","New Delhi","IAN Fund, Beenext, Indian Angel Network","Private Equity","30,00,000",2017-09-12,nan
599,WittyFeed,Technology,"Content marketing platform",Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana","Seed Funding",N/A,2017-09-13,nan
600,Glowroad,"Consumer Internet","women focussed customer-to-customer reseller network",Bangalore,"Accel Partners,","Private Equity","20,00,000",2017-09-13,nan
601,"OYO Rooms","Consumer Internet","udget hotel marketplace",Gurgaon,"China Lodging Group","Private Equity","1,00,00,000",2017-09-13,nan
602,Unacademy,"Consumer Internet","Online learning platform",Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,","Private Equity","1,15,00,000",2017-09-13,nan
603,Heterogenous,Technology,"Telecom & IoT platform",Chennai,"Chennai Angels, Keiretsu Forum & Others","Seed Funding","7,80,000",2017-09-13,nan
604,Gurukul,"Consumer Internet","co-working space provider","New Delhi","Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,","Seed Funding",N/A,2017-09-14,nan
605,Smaaash,Technology,"Virtual Reality gaming and entertainment platform",Mumbai,"ECL Finance","Private Equity","4,40,00,000",2017-09-14,nan
606,WheelStreet,"Consumer Portal","Bike Rental Platform",Bangalore,"Y Combinator","Seed Funding","1,20,000",2017-09-14,nan
607,Xprep,"Consumer Internet","Online Tutoring Platform","New Delhi","Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa","Private Equity",N/A,2017-09-14,nan
608,"The Moms Co",eCommerce,"Pregnancy & Baby Care product etailer",Gurgaon,"DSG Consumer Partners, Saama Capital","Private Equity","10,00,000",2017-09-18,nan
609,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna","Seed Funding",N/A,2017-09-19,nan
610,"High Radius",Technology,"Integrated receivables software solutions",Hyderabad,"Susquehanna Growth Equity LLC","Private Equity","5,00,00,000",2017-09-19,nan
611,"HWell24 Plus",Healthcare,"Technology-Empowered Healthcare Solutions",Mumbai,"Undisclosed Investors","Seed Funding",N/A,2017-09-20,nan
612,SaveBC,Finance,"financial services firm",Gaya,"Incofin Investment Management.","Private Equity","60,00,000",2017-09-21,nan
613,"Gaming Monk","Consumer Internet","E-sports platform","New Delhi",AdvantEdge,"Private Equity",N/A,2017-09-21,nan
614,91SpringBoard,"Consumer Internet","Co-working spaces","New Delhi","Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour","Private Equity",N/A,2017-09-21,nan
615,Homergize,eCommerce,"Home Furnishing & Building material marketplace",Bangalore,"LG Chandrasekhar","Private Equity","10,00,000",2017-09-21,nan
616,Yatra.com,eCommerce,"Online Travel Agency",Gurgaon,"InnoVen Capital India","Debt Funding","1,54,00,000",2017-09-22,nan
617,"Ace Turtle",Technology,"Omni-channel web commerce solutions provider",Bangalore,"InnoVen Capital","Private Equity",N/A,2017-09-22,nan
618,Vogo,"Consumer Internet","Scooter Rental Platform",Bangalore,"AV Thomas Group","Seed Funding",N/A,2017-09-25,nan
619,Synup,Technology,"SME Marketing Management Solution",Bangalore,"Vertex Ventures, Prime Venture Partners.","Private Equity","60,00,000",2017-09-25,nan
620,Tinmen,"Consumer Internet","Food Delivery platform",Hyderabad,"Zomato Media Pvt. Ltd","Private Equity",N/A,2017-09-25,nan
621,Cropin,Technology,"Crop Technology Solutions",Bangalore,Beenext,"Private Equity",N/A,2017-09-25,nan
622,Rapido,"Consumer Internet","Bike Aggregator Mobile App",Bangalore,"Battery Road Digital Holdings LLC","Seed Funding","4,22,000",2017-09-25,nan
623,Sportobuddy,"Consumer Internet","Sports & Sport related equipment portal",Mumbai,"Mehul Shah","Seed Funding","1,50,000",2017-09-25,nan
624,Credifiable,"Consumer Internet","Online consumer lending platform",Bangalore,"Kae Capital","Private Equity",N/A,2017-09-26,nan
625,Inclov,"Consumer Internet","Matchmaking app for the differently abled",Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl","Seed Funding",N/A,2017-09-26,nan
626,Multibhashi,"Consumer Internet","Language learning Mobile App",Bangalore,"Aniruddha Malpani, Startup Oasis","Seed Funding",N/A,2017-09-26,nan
627,Transerve,Technology,"Geospatial Technology-based SaaS solutions",Mumbai,"IL&FS Investment Managers, Omidyar Network.","Private Equity","16,00,000",2017-09-27,nan
628,Fashalot,"Consumer Internet","O2O fashion discovery platform",Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg","Private Equity",N/A,2017-09-27,nan
629,Pitstop,"Consumer Internet","Car repair and Servicing Platform",Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg","Private Equity","10,00,000",2017-09-27,nan
630,GoChoppers,"Consumer Internet","Luxury Helicopter Tourism Services portal",Gurgaon,"Rivergate Capital,","Seed Funding",N/A,2017-09-27,nan
631,MyUpchar,"Consumer Internet","Local Language Health Information portal","New Delhi",LetsVenture,"Seed Funding","3,00,000",2017-09-27,nan
632,Aadyah,Technology,"Defense Tech & Aerospace startup",Bangalore,"Keiretsu Forum","Private Equity","10,00,000",2017-09-28,nan
633,TouchKin,Technology,"Predictive Care Platform",Bangalore,"Kae Capital","Private Equity","13,00,000",2017-08-01,nan
634,Ethinos,Technology,"Digital Marketing Agency",Mumbai,"Triton Investment Advisors","Private Equity",N/A,2017-08-02,nan
635,"Leverage Edu","Consumer Internet","Online platform for Higher Education Services","New Delhi","Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose","Seed Funding",N/A,2017-08-02,nan
636,Zepo,"Consumer Internet","DIY Ecommerce platform",Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal","Seed Funding","5,00,000",2017-08-02,nan
637,Click2Clinic,"Consumer Internet","healthcare service aggregator",Hyderabad,"Narottam Thudi, Shireesh Palle","Seed Funding","8,50,000",2017-08-02,nan
638,SpeedBox,Logistics,"On-Demand Logistics Service provider",Mumbai,"Cismat Cargo Services Pvt. Ltd.","Seed Funding","3,00,000",2017-08-03,nan
639,"Skill Connect","Consumer Internet","Recruitment Portal",Jaipur,"Rajasthan Angel Investor Network","Seed Funding",N/A,2017-08-03,nan
640,"Chai Point","Consumer Internet","Tea Delivery Portal & offline stores",Bangalore,"DSG Consumer Partners, Eight Roads Ventures India","Private Equity",N/A,2017-08-03,nan
641,Zoctr,"Consumer Internet","Health Products & Services Aggregator",Mumbai,SIDBI,"Private Equity",N/A,2017-08-03,nan
642,"Lime Tray",Technology,"Restaurant Management Solutions","New Delhi","JSW Ventures","Private Equity",N/A,2017-08-04,nan
643,CoutLoot,eCommerce,"Fashion Resale Marketplace",Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,","Seed Funding",N/A,2017-08-04,nan
644,"Box My Space",Logistics,"Warehouse Aggregator",Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments","Seed Funding",N/A,2017-08-04,nan
645,Curatio,Healthcare,"Skincare Speciality services",Chennai,"Anicut Capital","Private Equity",N/A,2017-08-05,nan
646,"New Castle Technologies",Technology,"Hospital Management Software",Chennai,"Undisclosed investors","Seed Funding","2,43,000",2017-08-08,nan
647,"My Forex Eye","Consumer Internet","foreign exchange services","New Delhi","Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others","Seed Funding","2,20,000",2017-08-08,nan
648,TruxApp,Logistics,"Mobile based Logistics Service","New Delhi","Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others","Seed Funding","31,00,000",2017-08-09,nan
649,CroFarm,Technology,"Agriculture Supply Chain solutions",Gurgaon,"Factor[e] Ventures","Seed Funding","7,83,000",2017-08-09,nan
650,DoodhWala,"Consumer Internet","Online milk delivery",Bangalore,"Tom Varkey","Seed Funding",N/A,2017-08-09,nan
651,Stayabode,"Consumer Internet","Co-Living space aggregator",Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,","Private Equity",N/A,2017-08-10,nan
652,Flipkart,eCommerce,"Online Marketplace",Bangalore,Softbank,"Private Equity","2,50,00,00,000",2017-08-11,nan
653,"Moong Labs",Technology,"Mobile games developer","New Delhi","Nazara Games","Private Equity",N/A,2017-08-11,nan
654,"Ola Cabs","Consumer Internet","App based cab aggregation Service",Gurgaon,"Tekne Capital Management","Private Equity","3,60,00,000",2017-08-11,nan
655,"Sports Flashes","Consumer Internet","Sports Content Mobile App","New Delhi","Bennett, Coleman and Company Ltd (BCCL),","Private Equity",N/A,2017-08-14,nan
656,Digilend,Technology,"Personal Loans & EMI solutions platform",Mumbai,"InCred Finance, Fullerton India Credit Company Ltd","Seed Funding","3,12,000",2017-08-14,nan
657,"KNAB Finance","Consumer Internet","Unsecured Small Business Loans",Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj","Seed Funding","3,85,000",2017-08-15,nan
658,"Get Simpl","Consumer Internet","Payment Solution Mobile app",Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP","Seed Funding",N/A,2017-08-17,nan
659,Rootefy,eCommerce,"Building material online store","New Delhi","Abhinav Gupta,","Seed Funding","1,87,000",2017-08-20,nan
660,Uniphore,Technology,"speech recognition startup",Chennai,"IDG Ventures","Private Equity","68,00,000",2017-08-21,nan
661,Cerebroz,"Consumer Internet","E-Tech platform",Vadodara,"Undisclosed HNI\\xe2\\x80\\x99s","Seed Funding","7,34,000",2017-08-21,nan
662,Flochat,"Consumer Internet","instant messaging platform",Mumbai,"iSquare Global,","Seed Funding",N/A,2017-08-22,nan
663,EasyGov,"Consumer Internet","Govt service application portal",Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora","Seed Funding",N/A,2017-08-22,nan
664,"Milk Basket","Consumer Internet","Online Grocery platform",Gurgaon,"Blume Ventures. Lenovo Capital and Incubator Group (LCIG)","Seed Funding",N/A,2017-08-23,nan
665,Dhruva,Technology,"Cloud data protection and management solutions",Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital","Private Equity","8,00,00,000",2017-08-23,nan
666,"Bombay Shaving Company",eCommerce,"Men Grooming product etailer","New Delhi","Fireside Ventures","Private Equity","23,00,000",2017-08-23,nan
667,Awign,Technology,"Operations and manpower outsourcing",Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,","Seed Funding",N/A,2017-08-23,nan
668,Indiez,Technology,"Software & Mobile app development platform",Bangalore,"Haresh Chawla","Seed Funding","5,00,000",2017-08-23,nan
669,Ezetap,Technology,"mPOS solutions provider",Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,","Private Equity","1,60,00,000",2017-08-24,nan
670,"Ink Monk","Consumer Internet","Online printing marketplace",Chennai,"VAMM Ventures, Raksul, Dena","Seed Funding","7,50,000",2017-08-25,nan
671,Medinfi,"Consumer Internet","Online Doctor Discovery Platform",Bangalore,"PBS Srinivas, Vinod Martin,","Seed Funding","1,25,000",2017-08-25,nan
672,Mobikon,Technology,"Restaurant & Hotel CRM platform",Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.","Private Equity","70,00,000",2017-08-28,nan
