Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1569,Coutloot,eCommerce,"Fashion Re-Commerce Platform",Mumbai,"Venture Catalysts","Seed Funding",N/A,2016-06-02,nan
1570,Limo,"Consumer Internet","Bus Aggregator Mobile app",Mumbai,"Rainmaker Ventures","Private Equity","10,00,000",2016-06-02,nan
1571,iCliniq,"Consumer Internet","Doctor Consultation platform",Bangalore,"MadhanKumar Madathupalayam","Seed Funding",N/A,2016-06-03,nan
1572,"GoGo Truck","Consumer Internet","Truck Aggregator & Booking platform",Chennai,"Undisclosed Investor","Seed Funding","75,000",2016-06-03,nan
1573,"Vyome Biosciences",Healthcare,"Treatment Development for Antibiotic-resistant diseases","New Delhi","Romulus Capital","Private Equity","20,00,000",2016-06-03,nan
1574,SillyMonks,"Consumer Internet","Digital Media and Entertainment Startup",Hyderabad,"Sreenivasa Reddy Musani","Seed Funding","4,48,000",2016-06-06,nan
1575,CueMath,Education,"K-12 Maths Learning Courses",Bangalore,"Sequoia Capital, Unitus Seed Fund","Private Equity","40,00,000",2016-06-07,nan
1576,KrazyBee,"Consumer Internet","Student Micro-Loan platform",Bangalore,"Yeahmobi, Fenqile","Private Equity","20,00,000",2016-06-07,nan
1577,Intgrea,Technology,"Post merger Integration Partners",Bangalore,"Undisclosed Investor","Seed Funding","1,00,000",2016-06-07,nan
1578,HelpShift,Technology,"Mobile CRM Platform",Pune,"Microsoft Ventures, Salesforce Ventures","Private Equity","2,30,00,000",2016-06-07,nan
1579,CreditVidya,Technology,"Credit Scoring Platform",Mumbai,"Kalaari Capital","Private Equity","10,00,000",2016-06-07,nan
1580,"Grey Campus","Consumer Internet","Online Learning Platform",Hyderabad,"Sarath Sura","Seed Funding","10,00,000",2016-06-08,nan
1581,ListUp,eCommerce,"Location based Classified Mobile app",Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon","Seed Funding","5,00,000",2016-06-08,nan
1582,6Degree,Technology,"Tech-enabled Fashion Talent platform",Mumbai,"Indian Angel Network","Seed Funding","2,00,000",2016-06-08,nan
1583,Shopwati,"Consumer Internet","Online Fashion Discussion Community",Gurgaon,"Sanjiv Rai","Seed Funding",N/A,2016-06-08,nan
1584,Cookifi,"Consumer Internet","Online Chef Discovery & Booking Service",Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore","Seed Funding",N/A,2016-06-08,nan
1585,StoreKing,eCommerce,"Connecting Small Town Consumers to E-Commerce",Bangalore,"Axiata Digital","Private Equity","1,60,00,000",2016-06-08,nan
1586,"Wired Hub","Real Estate","Co-Working Spaces",Jaipur,"Ankit Maheshwari, Anand Singh","Seed Funding",N/A,2016-06-08,nan
1587,MySeniorDoctor,"Consumer Internet","Online medical support platform",Gurgaon,"BlackJag Partners","Seed Funding","2,00,000",2016-06-08,nan
1588,Teabox,eCommerce,"Online Tea Store",Siliguri,"Cameron Jones","Seed Funding",N/A,2016-06-09,nan
1589,ExtraaEdge,"Consumer Internet","Student Acquisition Platform",Pune,"Ritesh Dwivedy, Priti Padhy","Seed Funding",N/A,2016-06-09,nan
1590,EPayLater,Technology,"Fin-Tech Platform",Mumbai,"3 undisclosed HNIs","Seed Funding","20,00,000",2016-06-09,nan
1591,Kyazoonga,eCommerce,"Online event ticketing Platform",Mumbai,"Ratan Tata","Seed Funding",N/A,2016-06-10,nan
1592,Paytunes,"Consumer Internet","Mobile based rewards platform","New Delhi","CIO Angel Network, Indian Angel Network","Private Equity","5,00,000",2016-06-10,nan
1593,"Kickstart Jobs",Technology,"Entry level hiring platform",Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna","Seed Funding",N/A,2016-06-10,nan
1594,Freshee,FMCG,"Household packaging & Storage product manufacturer",Mumbai,"Edelweiss Private Equity","Private Equity",N/A,2016-06-10,nan
1595,"MadRat Games",Technology,"Wearable Gaming Platform",Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham","Seed Funding",N/A,2016-06-10,nan
1596,Jazzmyride,eCommerce,"Auto Parts & Accessories eTailer","New Delhi","TVS Automobile Solutions Ltd","Private Equity",N/A,2016-06-11,nan
1597,AutoSense,Technology,"Data Analytics based Customer Management Services","New Delhi","TVS Automobile Solutions Ltd","Private Equity",N/A,2016-06-11,nan
1598,"Redsun Telematics","Consumer Internet","Internet of Things Platform",Chennai,"TVS Automobile Solutions Ltd","Private Equity",N/A,2016-06-11,nan
1599,KhanaGadi,"Consumer Internet","Online Food Delivery for Train Travelers",Jaipur,"50K Ventures","Seed Funding",N/A,2016-06-13,nan
1600,"Bombay Shirt Company",eCommerce,"Online custom Shirt retailer",Mumbai,"undisclosed investor","Private Equity","10,00,000",2016-06-13,nan
1601,Matrubharti,"Consumer Internet","e-Book Publisher",,"Viridian Capital","Seed Funding","30,000",2016-06-13,nan
1602,EdTechReview,"Consumer Internet","Education based online portal","New Delhi","EVC Ventures","Seed Funding",N/A,2016-06-14,nan
1603,Bonhomia,"Food & Beverage","Premium Tea & Coffee Capsules maker","New Delhi","Valpro Capital and existing investors","Private Equity",N/A,2016-06-14,nan
